subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Specialty Areas,"A Notice of Intent to Sell was not recorded or published when a business opportunity was sold. If this were to happen, the primary responsibility for the debts of the business would lie with the:",seller.,buyer.,broker.,lessor.,b,"Correct answer is (b). If the transferee (buyer) does not comply with the requirements of Division 6 of the Uniform Commercial Code by recording and publishing a public notice of sale, he would have the primary responsibility for the debts of the business."
Specialty Areas,"A parcel of land was purchased in 1985 and subdivided into four separate lots. Five years later, each lot sold for $200,000. The adjusted basis for each lot was $10,000. What was the capital gain on these transactions?","$40,000","$760,000","$400,000","$800,000",b,"Correct answer is (b). $10,000 x 4 lots = $40,000 adjusted basis. $200,000 x 4 lots = $800,000 total selling price. $800,000 - $40,000 = $760,000 capital gain."
Specialty Areas,A party wall is:,"a wall on the property line of adjoining properties, used by both parties.","a wall between apartment units, used by the adjoining tenants.",a wall that bears the weight of structure between two unsupported areas in a single structure.,all of the above,a,Correct answer is (a). Do not confuse with partition or bearing wall.
Specialty Areas,A party wall is:,"a wall on the property line of adjoining properties, used by both parties.","a wall between apartment units, used by the adjoining tenants.",a wall that bears the weight of structure between two unsupported areas in a single structure.,all of the above,a,"Correct answer is (a). Do not confuse with partition or bearing wall. Black's Law states that a party wall is ""a wall that divides two adjoining, separately owned properties and that is shared by the two property owners as tenants in common."""
Specialty Areas,"A person may take depreciation on all of the following for income tax purposes, with the exception of:",an apartment building.,a home rented to a friend.,a vacant duplex.,land held for future income.,d,Correct answer is (d). No depreciation on land nor owner-occupied residence.
Specialty Areas,A prospective buyer of a business opportunity would be most interested in the:,gross sales of the business.,net profit of the business.,turnover.,net worth of the business.,b,"Correct answer is (b). In gauging the financial condition of a business, a buyer will look at two financial statements. One of these will be the balance sheet which shows the assets and liabilities of the business and the net worth. Of more importance to the buyer, however, will be the profit and loss statement which reflects the net profit."
Specialty Areas,A purchaser under a sale-leaseback transaction would be least interested in:,the location of the property.,the seller's depreciated book value.,a general well-constructed building.,the credit of the prospective seller.,b,"Correct answer is (b). He would probably be somewhat interested in all of these, but he would be least interested in the depreciated book value."
Specialty Areas,A supplementary tax bill indicates:,change in taxes as of the date of transfer of ownership of real property.,no change in ownership.,tax-deferred exchange.,new partnership.,a,"Correct answer is (a). Upon a change in ownership of real property, unless the change is between spouses, a new assessment is made based on 1% of the new purchase price. A supplementary tax bill will be sent to the new owner, reflecting the change in taxes as of the date of transfer."
Specialty Areas,A timeshare advertisement did not reveal whether attendance was required for the prize giveaways. Is this a violation of the real estate law?,"No, the real estate law does not regulate advertising for time-shares.","Yes, anyone giving away prizes must disclose in advance the minimum attendance required for the giveaways.","No, the law specifically allows the seller of the timeshare to surprise the consumer by requiring attendance at a presentation.","Yes, unless the prize is in excess of $10,000.",b,"Correct answer is (b). The advertisement must disclose that a prospective purchaser is required to attend a sales presentation to obtain a prize or promotional item, if attendance is a requirement of the promotion. [Section 11245(17)]"
Specialty Areas,A timeshare advertisement did not reveal whether attendance was required for the prize giveaways. Is this a violation of the real estate law?,"No, the real estate law does not regulate advertising for time-shares.","Yes, anyone giving away prizes must disclose in advance the minimum attendance required for the giveaways.","No, the law specifically allows the seller of the timeshare to surprise the consumer by requiring attendance at a presentation.","Yes, unless the prize is in excess of $10,000.",b,"Correct answer is (b). The advertisement must disclose that a prospective purchaseris required to attend a sales presentation to obtain a prize orpromotional item, if attendance is a requirement of the promotion.[Section 11245(17)]"
Specialty Areas,A water closet is:,a room where the water heater is kept.,water in a well.,a plumbing fixture.,used by a surveyor.,c,Correct answer is (c). The toilet.
Specialty Areas,All of the following are items commonly found in a balance sheet except:,goodwill.,equipment used for deliveries.,prepaid expenses.,sales.,d,"Correct answer is (d). The total amount of sales (also referred to as the gross income) would be found on the profit and loss statement, not the balance sheet."
Specialty Areas,"All of the following are used to determine the gain or loss on sale of real property for income tax purposes, except:",miscellaneous costs of sale.,brokerage commission.,purchase price.,mortgage payment.,d,Correct answer is (d). The owner's mortgage payment is not considered in the formula used to determine the gain or loss from the sale of real property.
Specialty Areas,All of the following statements concerning construction terms are correct except:,plaster is considered dry wall.,wainscoting refers to the finishing of the upper half of a wall with different material than the lower half.,a party wall must be on the line between two adjoining properties.,sheathing may be found on the roof or the sides of a frame structure.,a,"Correct answer is (a). Answers (b), (c), and (d) are all statements of fact. Plaster is not dry wall."
Specialty Areas,All of the following statements concerning real property taxes are correct except:,the local tax assessor appraises all real property in the county for the purpose of setting the assessed value.,the lien date for real property taxes is January 1st.,"there is a separate assessment made of land and improvements, but one tax bill is issued covering both values.",the second half of real property taxes becomes delinquent if not paid on or before April 10th of the tax year.,a,"Correct answer is (a). Some property is assessed by the State Board of Equalization (e.g., utility companies). Answers (b), (c), and (d) are all statements of fact."
Specialty Areas,An advantage of an investment in income property over an investment in shares of stock is:,appreciation.,depreciation.,income.,capital gains.,b,Correct answer is (b). No depreciation allowed on stock certificates for income tax purposes.
Specialty Areas,"An apartment was purchased for $175,000. The terms of purchase were $125,000 cash and a purchase money deed of trust for the balance. The land was valued at $60,000. What would the adjusted cost basis of the property be after it is fully depreciated?",The remaining balance on the purchase money deed of trust,"$115,000, the value of the improvements","$60,000, the value of the land",It would have no adjusted cost basis as it is fully depreciated,c,"Correct answer is (c). Only the improvements are depreciated; therefore, after the property has been fully depreciated, the adjusted cost basis would still be the original value of the land, $60,000."
Specialty Areas,"An individual purchased an older apartment house as an investment. Since this was his first venture in real property investments, he is uncertain as to the depreciation schedule. If the former owners had been deducting depreciation, the new owner, for income tax purposes:",must use the same depreciation schedule.,may use the sum-of-digits method.,can ignore the depreciation schedule of the former owner and establish his own.,can only depreciate the improvements based on the former owner's remaining life.,c,"Correct answer is (c). As the purchaser of investment property, the new owner may establish his own economic life and schedule his depreciation on this life."
Specialty Areas,"An individual purchased an older apartment house as an investment. Since this was his first venture in real property investments, he is uncertain as to the depreciation schedule. If the former owners had been deducting depreciation, the new owner, for income tax purposes:",must use the same depreciation schedule.,may use the sum-of-digits method.,can ignore the depreciation schedule of the former owner and establish his own.,can only depreciate the improvements based on the former owner's remaining life.,c,"Correct answer is (c). As the purchaser of investment property, the new owner may establish his own economic life and schedule his depreciation on this life. The sum-of-the-digits method is allowed on new property only."
Specialty Areas,"An owner of a 20-unit apartment house decides to have a $4,000 swimming pool installed for the benefit and convenience of his tenants. If he completes the installation he can handle the expense for income tax purposes by:",deducting the full cost as an operating expense in the year it was installed.,adding it to his cost basis as a capital improvement.,depreciating the improvement along with the land.,deducting it as an expense and cannot depreciate it over the life of the pool since it does not add to the life of the apartment.,b,"Correct answer is (b). This expense would be considered a capital improvement and the expense must be depreciated over the life of the pool. It is not depreciated with the land, since the land is not depreciated."
Specialty Areas,"An owner of an industrial piece of property that conducts his own business on said property, sold the real estate to another company, and entered into a lease arrangement with the new owner. His greatest advantage was:",this would free him from the responsibility of increased taxation in the future.,this would give him more working capital to run his business.,more equity as a lessee.,the rentals are deductible items on his income tax return.,b,"Correct answer is (b). A state examination opinion answer. Of the answers given, we agree with their opinion."
Specialty Areas,Another name for a tax-deferred exchange is:,installment tax exchange.,tax sale exchange.,tax-free exchange.,sale exchange.,c,"Correct answer is (c). The 1031 Exchange, sometimes called a ‰ŪĻtax-free‰Ū¯ exchange, is a method of deferring tax liability."
Specialty Areas,"Assets, liabilities, and net worth are important items when running a business. The liabilities of a business are:",claims of the creditors.,prepaid taxes.,accounts receivable.,cash on hand.,a,"Correct answer is (a). Answers (b), (c), and (d) are considered assets of a business."
Specialty Areas,Assume you are a real estate licensee acting on behalf of a group of investors who have formed a real estate syndicate and desire to limit the liability of the members. These investors would probably form a:,limited partnership.,corporation.,real estate investment trust.,any of the above,d,"Correct answer is (d). In answers (a), (b), and (c) the investors' liability would be limited."
Specialty Areas,Assume you own a piece of real property with a fixed income and you discover a very serious inflationary trend in the economy. How would this affect your equity in the property?,Value of your equity would increase,Value of your equity would remain the same,You would not be affected by this inflationary trend at all,Value of your equity would decrease,a,"Correct answer is (a). Historically, real property has shown a consistent growth in value and remains the best hedge against inflation."
Specialty Areas,"Assume you own an apartment house. You have a swimming pool installed on the property at a cost of $19,200. For federal income tax purposes how would this be handled?",Write it off as an expense item,Would make an increase in your adjusted cost basis,Is not considered at all in the federal income tax program,Is considered a tax shelter,b,Correct answer is (b). Any improvements added by the property owner on income property would increase the cost basis of the property and would have to be adjusted accordingly for federal income tax purposes.
Specialty Areas,"Assume you own an apartment house. You have a swimming pool installed on the property at a cost of $19,200. For federal income tax purposes how would this be handled?",Write it off as an expense item,It would make an increase in your adjusted cost basis,It is not considered at all in the federal income tax program,It is considered a tax shelter,b,Correct answer is (b). Any improvements added by the property owner on income property would increase the cost basis of the property and would have to be adjusted accordingly for Federal Income Tax purposes.
Specialty Areas,"Assume you purchased a piece of property for $200,000 and economic factors caused the dollar to inflate. Who would benefit?",The lending institution,The seller,"You, the buyer",All of the above,c,"Correct answer is (c). Inflationary trends cause property to increase in value; therefore, the buyer would benefit."
Specialty Areas,Bulk transfer is found in the:,Real Estate Law.,Business and Professions Code.,Uniform Commercial Code.,Government Code.,c,"Correct answer is (c). Bulk sales, or the sale of a substantial part of the inventory of a business, are regulated by Division 6 of the UCC (Uniform Commercial Code)."
Specialty Areas,Capital loss may not be taken on:,income producing property.,land held for investment.,owner occupied residence.,none of the above,c,Correct answer is (c). You cannot take a capital loss on residential property. You can take it on income property and land held for investment.
Specialty Areas,Capital turnover in real estate investments:,are slower than the average commodity.,is about the same as in other commodities.,are faster than in the stock market.,is about average with other commodities.,a,"Correct answer is (a). Due to the high cost and fixity of location, real estate does not turnover as frequently as other commodities."
Specialty Areas,Cash flow is:,gross rental minus operating expenses minus payments on principal and interest.,gross rental minus operating expenses minus cost of doing business.,gross rental minus operating expenses only.,none of the above,a,"Correct answer is (a). Cash flow is the spendable income from an investment after deducting from gross income all operating and fixed expenses, including principal and interest."
Specialty Areas,"Concerning the second installment of property taxes, the due date and delinquent dates in California are:",November 1 and December 10.,February 1 and April 10.,July 1 and June 30.,January 1 and March 10.,b,"Correct answer is (b). The second installment of the property taxes is due February 1, and delinquent April 10."
Specialty Areas,Condominium projects are expected to grow in demand in the future due to which basic factor?,Taxes,Scarcity of land,Comfort,Sociability,b,"Correct answer is (b). Although high property taxes will force more individuals out of single family residences, the scarcity of land will be the major factor."
Specialty Areas,Depreciation on real property is an allowable deduction for income tax purposes if the real property is:,owner's personal residence.,heavily encumbered.,improved.,all of the above,c,"Correct answer is (c). The only items that are allowable for depreciation on income tax are those items that are man-made or generally speaking, improvements, on income property."
Specialty Areas,Division 6 of the Uniform Commercial Code pertaining to bulk transfers of goods is for the protection of:,seller.,buyer.,both the buyer and the seller.,creditors.,d,Correct answer is (d). The purpose of the Bulk Transfer Act is to protect the creditors of a person who sells a business.
Specialty Areas,"During the inflationary periods here in the United States, the dollar value is decreased. This would best be evidenced by:",the cost of living index rising.,the cost of living index decreasing.,increase of interest rates by private lenders.,NAR increasing its fees.,a,Correct answer is (a). When cost of living index goes up the dollar decreases in value.
Specialty Areas,"Edna is a farmer and needs to raise additional working capital and wishes to encumber her growing crops. If the lending institution is agreeable to this, Edna would be asked to sign a:",financing statement.,trust deed.,growing crops chattel mortgage.,straight financing mortgage.,a,"Correct answer is (a). Since the chattel mortgage has been replaced by a financing statement, when money is borrowed against growing crops, a financing statement must be signed by the borrower."
Specialty Areas,Elevation sheets are used by builders. Which of the following best illustrates what an elevation sheet would reveal?,"Exterior sides of the building after all structural work is completed, showing heights, widths, windows and doors, and many other details",The overall height of the building,The terrain of the land as opposed to street levels,The height of curbs as related to flood control,a,Correct answer is (a). Definition: An elevation sheet is a drawing that shows front and side exterior views of a building as it will be when finished.
Specialty Areas,Escrow companies act as the agents for:,buyers.,sellers.,both buyers and sellers.,any of the above,d,"Correct answer is (d). An escrow holder, otherwise known as an escrow company, or some other eligible person, acts as a neutral agent of both buyer(s) and seller(s)."
Specialty Areas,Escrow companies normally base their prorations on a year consisting of:,350 days.,355 days.,360 days.,365 days.,c,"Correct answer is (c). As a matter of convenience, escrow companies use a 30-day month, hence, a 360-day year."
Specialty Areas,Financing statements are to be filed with:,City Attorney's Office.,Secretary of State.,County Board of Equalization.,State Board of Equalization.,b,Correct answer is (b). Statement of fact.
Specialty Areas,"For street improvements, lots are assessed according to:",front foot.,square footage.,market value.,performance.,a,"Correct answer is (a). According to county regulations, assessments for street improvements are based upon the front foot dimensions of the lot."
Specialty Areas,"For the purpose of computing federal income tax, the ""cost basis"" may be used to determine:",depreciation.,interest.,economic life.,capital assets.,a,Correct answer is (a). The cost basis is synonymous with book value and is used to determine depreciation for income tax purposes.
Specialty Areas,"Generally, franchisors raise most of their funds from:",real estate investment trusts.,federal and state franchise loan programs.,"financing from banks and insurance companies, together with money from the sale of stock and service fees from franchisees.",public investment trusts and endowments.,c,"Correct answer is (c). Franchisors would normally receive money from loans, stock sales, and franchise fees."
Specialty Areas,"Hammer, a building contractor, and Jones, a Realtor, wish to purchase a business property. To do so:",they may engage in real estate acts together only as principals.,Hammer needs a real estate license.,they will need a partnership real estate license.,they will need a partnership contractors' license.,a,"Correct answer is (a). The fact that both men have state licenses of a different type does not prevent them from purchasing property together. However, they would have to do so as principals."
Specialty Areas,If a married woman buys a grocery store which includes an off-sale beer and wine license:,she must apply to the State Board of Equalization.,she must apply to the A.B.C. (Alcohol Beverage Control),she and her husband must apply to the State Board of Equalization.,she and her husband must apply to the A.B.C.,d,Correct answer is (d). They must be both named on the application to the A.B.C. even if the license is going to be in the wife's name. If he is an ex-felon this will keep the license from being issued for fear he may participate in the management of the business.
Specialty Areas,"If a notice of intention to sell is not recorded and published, who is liable for the debts of the business?",Seller,Buyer,Seller and buyer,Neither seller nor buyer,b,"Correct answer is (b). Any bulk sale that takes place without complying with the requirements of the Bulk Transfer Law is considered valid between the buyer and seller, but fraudulent and void against creditors. This means creditors have recourse against the buyer because he or she holds the security for the debt(s)."
Specialty Areas,"If all things are equal, the cost to construct a 2-story dwelling (same square footage) would be:",more than the cost of construction of a 1-story dwelling.,less than the cost of construction of a 1-story dwelling.,the same as the cost of construction of a 1-story dwelling.,none of the above,b,"Correct answer is (b). Since the property has the same square footage, considering the size of the roof, and the bathrooms being built above each other, the cost of the plumbing would be less; therefore, answer (b) is the best answer."
Specialty Areas,"If all things are equal, the cost to construct a 2-story dwelling (same square footage) would be:",more than the cost of construction of a 1-story dwelling.,less than the cost of construction of a 1-story dwelling.,the same as the cost of construction of a 1-story dwelling.,none of the above,b,"Correct answer is (b). Since the property has the same square footage, two-story construction can be cheaper than one-story. Two of the most expensive parts of a house are the roof and the foundation. A two-story home with the same square footage as a one-story has half the roofing costs and half the foundation costs. There are also economies in plumbing and heating in two stories; therefore, answer (b) is the best answer."
Specialty Areas,"If economy was experiencing a down-turn, who would be the least affected?",Medical/dental office,Industrial park,Production plant,Chain mall,a,Correct answer is (a). People will usually always have need for these services.
Specialty Areas,"If topography is considered in connection with development of a residential subdivision, experience has shown that:",land with a rolling topography can be developed more cheaply than flat land.,some contour is desirable in a residential subdivision.,rolling hills and varied topography are considered to result in a monotonous landscape for a residential subdivision.,none of the above is true.,b,Correct answer is (b). Desirable but more expensive because of the cost of engineering and grading.
Specialty Areas,"If you are asked to figure the net worth of a business, you would treat an ""account payable"" as:",none of the following,an asset.,a liability.,a credit.,c,"Correct answer is (c). The key word in this question is ""payable."" Hence, something that is to be paid; therefore, since it is to be paid it is classified as a liability."
Specialty Areas,"If you are asked to figure the net worth of a business, you would treat an ""account payable"" as:",none of the following,an asset.,a liability.,a credit.,c,"Correct answer is (c). The key word in this question is ""payable."" Hence, something that is to be paid; therefore, since it is to be paid, it is classified as a liability."
Specialty Areas,"If you are selling a business opportunity property, which of the following is subject to California state sales tax?",Fixtures,Good will,Inventory stock in trade,All of the above,a,"Correct answer is (a). Good will and inventory stock in trade are not subject to sales tax. Fixtures, however, are subject to taxation."
Specialty Areas,"If you are the owner of a business, you are required to remit your sales tax:",monthly.,quarterly.,when demanded by State Board of Equalization.,every four months.,b,"Correct answer is (b). A retailer must collect the proper sales tax from customers and pay it to the State Board of Equalization, usually quarterly."
Specialty Areas,"In buying a commercial building (property), the buyer is concerned that all costs be considered in determining net income. One of the most easily over-looked costs, which may later result in a sudden and substantial outlay on the part of the owner, is:",deferred maintenance.,management costs.,improper floor plans.,poor locations (economic obsolescence).,b,Correct answer is (b). The other factors are well known to income property investors.
Specialty Areas,"In many states, taxes on real property are collected on an ad valorem basis. The term ad valorem most nearly means:",replacement value.,according to value.,fixed value.,utility value.,b,Correct answer is (b). Ad valorem is a Latin prefix meaning ‰ŪĻaccording to value.‰Ū¯
Specialty Areas,"In order for a real estate licensee to handle the sale of a mobile home, it must be registered with the Department of Housing and Community Development for what length of time?",10 calendar days,1 year,No requirement,10 business days,c,"Correct answer is (c). Previously, it was required that the mobile home be registered for more than one year, however, recent law has removed this restriction."
Specialty Areas,"In order for a real estate licensee to handle the sale of a mobile home, it must be registered with the Department of Housing and Community Development for what length of time?",10 calendar days,1 year,No requirement,10 business days,c,"Correct answer is (c). There is no time requirement. Persons holding a valid real estate brokers license issued by the California Bureau of Real Estate (BRE) may sell manufactured homes, which have been registered with HCD or have been installed on a permanent foundation system. [B&amp;P Code 10131.6]."
Specialty Areas,"In real estate practice, the letter ""M"" is a zoning code used to designate an area which may be used for:",commercial property.,industrial property.,residential property.,none of these,b,"Correct answer is (b). The letter ""M"" indicates manufacturing and would apply to industrial property."
Specialty Areas,"In regards to the sale of a subdivision by a licensee of the Bureau of Real Estate, which of the following is not correct?",An exclusive right to sell listing on a subdivision lot must have a definite termination date.,The licensee may take listings prior to issuance of the Commissioner's Final Public Report,The licensee may not advertise the sale of lots prior to issuance of the Commissioner's Final Public Report,The licensee may not sell lots prior to issuance of the Commissioner's Final Public Report,c,"Correct answer is (c). All exclusive listings must have definite termination dates. A subdivider's agent may advertise, list, show, and take reservations prior to the issurance of the final pubilc report, provided the subdivider has a conditional (preliminary) public report. The lots cannot actually be sold. Any reservation money is 100% refundable."
Specialty Areas,"In regards to the sale of a subdivision by a licensee of the Department of Real Estate, which of the following is not correct?",An exclusive right to sell listing on a subdivision lot must have a definite termination date.,The licensee may take listings prior to issuance of the Commissioner's Final Public Report,The licensee may not advertise the sale of lots prior to issuance of the Commissioner's Final Public Report,The licensee may not sell lots prior to issuance of the Commissioner's Final Public Report,c,"Correct answer is (c). All exclusive listings must have definite termination dates. A subdivider's agent may advertise, list, show, and take reservations prior to the issurance of the final pubilc report, provided the subdivider has a conditional (preliminary) public report. The lots cannot actually be sold. Any reservation money is 100% refundable."
Specialty Areas,In what form of ownership would you look to an individual's personal assets?,Corporation,Limited partnership,Partnership,Investment trusts,c,"Correct answer is (c). A partnership (an association of two or more persons carrying on a business for profit as co-owners) can hold title to real property (personal assets) in the name of the partnership, holding by tenancy in partnership and often vesting the title to said property in a trustee of a land trust."
Specialty Areas,"Investor Bob bought a piece of income property for $185,000. The listed price was $240,000. He put $10,000 down and acquired a new first trust deed for the difference. The tax assessed value was indicated at $160,000. Investor Bob's cost basis for income tax purposes would be:","$160,000.00","$240,000.00","$185,000.00",none of the above,c,Correct answer is (c). Cost basis for income tax purposes (book value) is the price paid for the property.
Specialty Areas,Investors with a small amount of capital can pool their resources to buy real estate through:,the stock market.,a Real Estate Investment Trust.,foreclosure trusts.,savings banks.,b,"Correct answer is (b). Pooling the funds of many investors, investment companies may specialize in certain types of investments or industries, such as income stock or growth stocks or Real Estate Investment Trusts (REITs)."
Specialty Areas,It is unlawful for someone to sell any franchise that is regulated by the Franchise Investment Law unless such person has made application to the Corporations Commissioner or is licensed by the:,Real Estate Commissioner.,Franchise Tax Board.,Corporations Commissioner.,either (a) or (c) above,d,"Correct answer is (d). A person licensed by either the Real Estate Commissioner, or the Corporations Commissioner may sell a franchise."
Specialty Areas,It was discovered when checking the basement of a house that there were cracks along the foundation in two directions. This is most likely because:,the floor joists are too weak.,the concrete is deteriorating.,the walls are too heavy.,the house is settling.,d,"Correct answer is (d). Foundation settlement can cause internal stresses that weaken a structure. Differential settlement produces unsightly cracks in floors, exterior walls, and ceilings. Most structures experience some settlement. While most foundation problems can be corrected, repair work is usually expensive."
Specialty Areas,"Lili and Cal wanted to buy investment property using as little of their own money as possible, and borrowing the rest. This is an example of:",tight money.,disintermediation.,leverage.,discounting.,c,"Correct answer is (c). Leverage is the use of borrowed capital to buy real estate, and is a process that permits the buyer to use little of one's own money and large amounts of someone else's."
Specialty Areas,Most real estate syndicates are formed as:,corporations.,investment trusts.,joint ventures.,limited partnerships.,d,"Correct answer is (d). The limited partnership is popular in the syndication of real estate ventures because it: 1) permits investors having little capital to participate in real estate projects requiring considerable capital and management expertise, 2) restricts investors' liability to their contribution, and 3) permits funneling of tax benefits of real property ownership."
Specialty Areas,Most real estate syndicates are:,general partnerships.,limited partnerships.,corporations.,none of the above,b,Correct answer is (b). It is not general partnerships because this is usually involved in a corporate entity. It would not be corporations because this insures limited liability for the investors but is seldom utilized in modern syndicates. Limited partnerships combine nearly all of the advantages of the corporate/partnership forms. Limited partnerships are one of the most frequently selected for real estate syndicates.
Specialty Areas,Most real estate syndicates operate as a:,joint tenancy.,partnership.,limited partnership.,none of the above,c,"Correct answer is (c). The limited partnership is popular in the syndication of real estate ventures because it: 1) permits investors having little capital to participate in real estate projects requiring considerable capital and management expertise, 2) restricts investors' liability to their contribution, and 3) permits ‰ŪĻfunneling‰Ū¯ of tax benefits of real property ownership."
Specialty Areas,"Mr. and Mrs. Cool purchased a home in January 1991 for $117,000. They sold the home in August 1992 for $150,000 and moved into a furnished apartment and do not plan to own a home again. Under the Internal Revenue Code, the gain realized on the sale will:",be a deferred gain.,be a capital gain.,be a boot.,not be taxed at all.,b,"Correct answer is (b). Individuals are generally permitted to exclude from taxable income up to $250,000 ($500,000 for married couples) of gain on the sale of their principal residence. Since the owners occupied the residence for less than 2 years before selling it, their profit would be classified as a capital gain."
Specialty Areas,"Mr. Cheap, the owner of a duplex, leased one of the units for a two-year term beginning June 6, 1992, and received the rent for the last two months of the lease in advance. This prepaid rent should be:",declared in his income tax return for 1992.,declared in his income tax return for 1994.,pro-rated over the term of the lease.,none of the above,a,Correct answer is (a). Must be reported in the year received.
Specialty Areas,"Mr. Cho purchased a brand new piece of income property for $190,000. The listed price was $220,000. Mr. Cho considered this a good deal on his part, since he only put $10,000 down and acquired a new loan for the difference. The tax assessed value was indicated at $150,000. Mr. Cho's cost basis for income tax purposes would be:","$180,000.00","$150,000.00","$190,000.00",none of the above,c,"Correct answer is (c). Cost basis for income tax purposes (book value) is the price paid for the property, not the actual values in this case, $190,000."
Specialty Areas,"Mr. Gurley is delinquent on his 2007-2008 real property taxes. The ""sale to the state"" took place on his property at the time prescribed by the law. Mr. Gurley took steps in 2008 to pay his delinquent taxes. What is the proper procedure for Mr. Gurley to redeem his property?","Mr. Gurley should make his payment, then receive and record a comptroller's receipt, because the redemption period still applies",Make his payment and receive a tax deed,Record a full tax payment and reconveyance,Make his payment and record a tax clearance receipt,a,"Correct answer is (a). While the property is in a tax-defaulted status, the owner does not actually lose title and keeps possession for five years. If the taxes are not paid within that five-year redemption period a tax sale takes place, and the property may be sold at public auction to the highest bidder for cash."
Specialty Areas,"Ms. Bake, the owner of a duplex, leased one of the units for a two-year term beginning June 6, 1993, and received the rent for the last two months of the lease in advance. This prepaid rent should be:",declared in her income tax return for 1993.,declared in her income tax return for 1995.,pro-rated over the term of the lease.,none of the above,a,Correct answer is (a). Must be reported in the year received.
Specialty Areas,"Ms. Daniels was preparing her federal income tax return. Provided she lives on the premises, she is allowed a deduction for all of the following except:",real estate taxes.,interest on her home loan.,painting of a bedroom.,uninsured garage door valued at $200 which was stolen.,c,"Correct answer is (c). Real estate taxes and interest are reported on Schedule A. Maintenance expenses on an owner-occupied residence cannot be deducted. Generally casualty and theft losses to a home, household items and vehicles may be deducted on the Federal income tax return. Casualty and theft losses are claimed on IRS Form 4684."
Specialty Areas,"Ms. Norris purchased a piece of property for $200,000, incurring a 30 year loan for $180,000. Inflationary trends caused the dollar to decrease in value. Who would benefit?",Trustee,Trustor,Beneficiary,Mortgagee,b,Correct answer is (b). Trustor--Borrower.
Specialty Areas,"Ms. Snyder just bought a used apartment building. For income tax purposes, what method of depreciation should she take?",150% declining balance,200% declining balance,Sum-of-the-years digits,Straight line,d,Correct answer is (d). Straight line depreciation is the only method of depreciation available for property bought since 1987.
Specialty Areas,Net income is reflected in which of the following statements?,Closing statement,Financing statement,Profit statement,Profit and loss statement,d,"Correct answer is (d). A profit and loss statement reflects the net income or sum arrived at after deducting from the gross income the expenses of a business or investment (including taxes, insurance and allowances for vacancy and bad debts. Net income is what the property will earn in a given year's operation."
Specialty Areas,Net income is reflected in which of the following statements?,Closing statement,Financing statement,Profit statement,Profit and loss statement,d,"Correct answer is (d). A profit and loss statement reflects the net income or sum arrived at after deducting from the gross incom. the expenses of a business or investment (including taxes, insurance and allowances for vacancy and bad debts. Net income is what the property will earn in a given year's operation."
Specialty Areas,"Of the following, a real estate syndicate usually takes the form of:",severalty ownership.,limited partnership.,investment trust.,tenants in common.,b,Correct answer is (b). Many real estate syndicates take the form of a limited partnership so as to avoid the dual taxation that is imposed on corporations. Some use the Limited Liability Corporation (LLC).
Specialty Areas,"On a seller's federal income tax return, the seller's payment of a $3,000 commission to a real estate broker was being treated as:",capital gain.,standard deduction.,expense of sale.,ordinary income.,c,Correct answer is (c). Statement of fact.
Specialty Areas,On which date all over the State of California is all real property encumbered with a lien?,4/15/2016,4/30/2016,1/1/2016,3/15/2016,c,"Correct answer is (c). On January 1st of every year, taxes become a lien on real property in the state."
Specialty Areas,One of the main reasons that condominium projects are expected to grow in demand in the future is:,no yard upkeep.,higher property taxes.,land value.,utility value.,c,"Correct answer is (c). Because land cost is skyrocketing here in California, if the builder were to build more condominium units on a given piece of land, he would reduce the cost of land per unit."
Specialty Areas,Parallel timbers that support the load of the ceiling and the floor are called:,rafters.,floor boards.,restraining boards.,joists.,d,"Correct answer is (d). Definition: Parallel boards supporting floors or ceilings are called joists. The boards supporting them are girders, beams or bearing walls."
Specialty Areas,Percolation refers to:,septic system.,water mains.,sewer lines.,none of the above,a,Correct answer is (a). The action of the drainage water in the leach lines of a septic system.
Specialty Areas,Prepaid rent on a 5 year lease is taxable as income:,in the year collected.,in the year for which it is paid.,all of the above,none of the above,a,Correct answer is (a). Reported as income in the year in which it is collected.
Specialty Areas,Prepaid rent on a 5-year lease is taxable as income:,in the year collected.,in the year for which it is paid.,all of the above,none of the above,a,Correct answer is (a). Reported as income in the year in which it is collected.
Specialty Areas,Profit and loss statements are used to ascertain:,net income.,gross income.,balance of statements as furnished to escrow.,gross sales.,a,Correct answer is (a). Definition: A profit and loss statement reveals the net income (the gross income less the expenses) of the business over a certain time (generally calculated before accounting for depreciation).
Specialty Areas,Real estate agents may NOT sell mobile homes:,that are located in new mobile home sales lots.,with permanent foundations and are considered real property.,whose ownership is transferred by deed rather than by a certificate of ownership.,that are located in established mobile home parks.,a,"Correct answer is (a). Only licensed mobilehome dealers can sell new mobilehomes. However, a person with a valid real estate broker or sales license may sell mobilehomes, which have been registered with HCD and placed in an established mobilehome park or have been installed on a foundation system. Additionally, real estate licensees can sell or lease a mobilehome if it is on a lot where its presence has been authorized for a total and uninterrupted period of at least one year."
Specialty Areas,Real estate syndicates have recently come under the jurisdiction of the Real Estate Commission. A real estate syndicate can operate as a:,all of the following.,real estate investment trust.,partnership.,corporation.,a,"Correct answer is (a). Real estate syndicates may operate as partnerships, corporations, or real estate investment trusts."
